TRATAMIENTO,DURACION
NombreDelTratamientoNuevo,DiasDelNuevoTratamiento,True
NombreDelTratamientoNuevo,DiasDelNuevoTratamiento,True
NombreDelTratamientoNuevo,DiasDelNuevoTratamiento,True
NombreDelTratamientoNuevo,DiasDelNuevoTratamiento,True
NombreDelTratamiento,DiasDelTratamiento,True
NombreDelTratamiento,DiasDelTratamiento,True
NombreDelTratamiento,DiasDelTratamiento,True
NombreDelTratamiento,DiasDelTratamiento,True
NombreDelTratamiento,DiasDelTratamiento,True
NombreDelTratamiento,DiasDelTratamiento,True
